country_names,un_member_status,sovereignity_disputes
Afghanistan– Islamic Emirate of Afghanistan,A UN member state,A None
Albania– Republic of Albania,A UN member state,A None
Algeria– People's Democratic Republic of Algeria,A UN member state,A None
Andorra– Principality of Andorra,A UN member state,A None
Angola– Republic of Angola,A UN member state,A None
Antigua and Barbuda,A UN member state,A None
Argentina– Argentine Republic[i],A UN member state,A None
Armenia– Republic of Armenia,A UN member state,A None
Australia– Commonwealth of Australia,A UN member state,A None
Austria– Republic of Austria,A UN member state,A None
Azerbaijan– Republic of Azerbaijan[k],A UN member state,A None
"Bahamas, The– Commonwealth of The Bahamas[12]",A UN member state,A None
Bahrain– Kingdom of Bahrain,A UN member state,A None
Bangladesh– People's Republic of Bangladesh,A UN member state,A None
Barbados,A UN member state,A None
Belarus– Republic of Belarus,A UN member state,A None
Belgium– Kingdom of Belgium,A UN member state,A None
Belize,A UN member state,A None
Benin– Republic of Benin,A UN member state,A None
Bhutan– Kingdom of Bhutan,A UN member state,A None
Bolivia– Plurinational State of Bolivia,A UN member state,A None
Bosnia and Herzegovina,A UN member state,A None
Botswana– Republic of Botswana,A UN member state,A None
Brazil– Federative Republic of Brazil,A UN member state,A None
Brunei– Brunei Darussalam,A UN member state,A None
Bulgaria– Republic of Bulgaria,A UN member state,A None
Burkina Faso,A UN member state,A None
Burundi– Republic of Burundi,A UN member state,A None
Cambodia– Kingdom of Cambodia,A UN member state,A None
Cameroon– Republic of Cameroon,A UN member state,A None
Canada[l],A UN member state,A None
Cape Verde– Republic of Cabo Verde[m],A UN member state,A None
Central African Republic,A UN member state,A None
Chad– Republic of Chad,A UN member state,A None
Chile– Republic of Chile,A UN member state,A None
China– People's Republic of China[o],A UN member state,Partially unrecognised. BClaimed by AfghanistanClaimed by GeorgiaClaimed by North Korea Claimed by Serbia Claimed by Somalia Claimed by the People's Republic of China Claimed by the Republic of China Claimed by South Korea Claimed by Azerbaijan Claimed by the Republic of Cyprus Disputed by Israel Claimed by Indonesia Claimed by the Marshall Islands Claimed by Mauritius Claimed by Morocco Claimed by Moldova Claimed by Mali Claimed by Spain Claimed by Argentina Claimed by Ukraine Claimed by Pakistan
Colombia– Republic of Colombia,A UN member state,A None
Comoros– Union of the Comoros,A UN member state,A None
"Congo, Democratic Republic of the[s]",A UN member state,A None
"Congo, Republic of the[t]",A UN member state,A None
Costa Rica– Republic of Costa Rica,A UN member state,A None
Croatia– Republic of Croatia,A UN member state,A None
Cuba– Republic of Cuba,A UN member state,A None
Cyprus– Republic of Cyprus,A UN member state,Not recognised by Turkey[17]
Czech Republic[u],A UN member state,A None
Denmark– Kingdom of Denmark,A UN member state,A None
Djibouti– Republic of Djibouti,A UN member state,A None
Dominica– Commonwealth of Dominica,A UN member state,A None
Dominican Republic,A UN member state,A None
Ecuador– Republic of Ecuador,A UN member state,A None
Egypt– Arab Republic of Egypt,A UN member state,A None
El Salvador– Republic of El Salvador,A UN member state,A None
Equatorial Guinea– Republic of Equatorial Guinea,A UN member state,A None
Eritrea– State of Eritrea,A UN member state,A None
Estonia– Republic of Estonia,A UN member state,A None
Eswatini– Kingdom of Eswatini[w],A UN member state,A None
Ethiopia– Federal Democratic Republic of Ethiopia,A UN member state,A None
Fiji– Republic of Fiji,A UN member state,A None
Finland– Republic of Finland,A UN member state,A None
France– French Republic,A UN member state,A None
Gabon– Gabonese Republic,A UN member state,A None
"Gambia, The– Republic of The Gambia[22]",A UN member state,A None
Georgia,A UN member state,A None
Germany– Federal Republic of Germany,A UN member state,A None
Ghana– Republic of Ghana,A UN member state,A None
Greece– Hellenic Republic,A UN member state,A None
Grenada,A UN member state,A None
Guatemala– Republic of Guatemala,A UN member state,A None
Guinea– Republic of Guinea[z],A UN member state,A None
Guinea-Bissau– Republic of Guinea-Bissau,A UN member state,A None
Guyana– Co-operative Republic of Guyana,A UN member state,A None
Haiti– Republic of Haiti,A UN member state,A None
Honduras– Republic of Honduras,A UN member state,A None
Hungary,A UN member state,A None
Iceland[aa],A UN member state,A None
India– Republic of India,A UN member state,A None
Indonesia– Republic of Indonesia,A UN member state,A None
Iran– Islamic Republic of Iran,A UN member state,A None
Iraq– Republic of Iraq,A UN member state,A None
Ireland[ab],A UN member state,A None
Israel– State of Israel,A UN member state,Partially unrecognised
Italy– Italian Republic,A UN member state,A None
Ivory Coast– Republic of Côte d'Ivoire[ac],A UN member state,A None
Jamaica,A UN member state,A None
Japan,A UN member state,A None
Jordan– Hashemite Kingdom of Jordan,A UN member state,A None
Kazakhstan– Republic of Kazakhstan,A UN member state,A None
Kenya– Republic of Kenya,A UN member state,A None
Kiribati– Republic of Kiribati,A UN member state,A None
Kuwait– State of Kuwait,A UN member state,A None
Kyrgyzstan– Kyrgyz Republic,A UN member state,A None
Laos– Lao People's Democratic Republic,A UN member state,A None
Latvia– Republic of Latvia,A UN member state,A None
Lebanon– Republic of Lebanon,A UN member state,A None
Lesotho– Kingdom of Lesotho,A UN member state,A None
Liberia– Republic of Liberia,A UN member state,A None
Libya– State of Libya,A UN member state,A None
Liechtenstein– Principality of Liechtenstein,A UN member state,A None
Lithuania– Republic of Lithuania,A UN member state,A None
Luxembourg– Grand Duchy of Luxembourg,A UN member state,A None
Madagascar– Republic of Madagascar,A UN member state,A None
Malawi– Republic of Malawi,A UN member state,A None
Malaysia,A UN member state,A None
Maldives– Republic of Maldives,A UN member state,A None
Mali– Republic of Mali,A UN member state,A None
Malta– Republic of Malta,A UN member state,A None
Marshall Islands– Republic of the Marshall Islands,A UN member state,A None
Mauritania– Islamic Republic of Mauritania,A UN member state,A None
Mauritius– Republic of Mauritius,A UN member state,A None
Mexico– United Mexican States,A UN member state,A None
"Micronesia, Federated States of",A UN member state,A None
Moldova– Republic of Moldova,A UN member state,A None
Monaco– Principality of Monaco,A UN member state,A None
Mongolia,A UN member state,A None
Montenegro,A UN member state,A None
Morocco– Kingdom of Morocco,A UN member state,A None
Mozambique– Republic of Mozambique,A UN member state,A None
Myanmar– Republic of the Union of Myanmar[ad],A UN member state,A None
Namibia– Republic of Namibia,A UN member state,A None
Nauru– Republic of Nauru,A UN member state,A None
